Hey	O
Jarvis	O
,	O
what	O
's	O
the	O
time	O
?	O
Tell	O
Ronak	FRIEND
I	MESSAGE
want	MESSAGE
to	MESSAGE
go	MESSAGE
home	MESSAGE
.	O
Text	O
Shyam	FRIEND
Hang	MESSAGE
today	MESSAGE
?	MESSAGE
Send	O
Yeah	MESSAGE
dude	MESSAGE
to	O
Nikhil	FRIEND
.	O
Text	O
Mumuksha	FRIEND
You	MESSAGE
're	MESSAGE
awesome	MESSAGE
Hey	O
Jarvis	O
,	O
tell	O
Radhs	FRIEND
'	O
I	MESSAGE
'll	MESSAGE
be	MESSAGE
home	MESSAGE
before	MESSAGE
8	MESSAGE
pm	MESSAGE
'	O
Hey	O
Jarvis	O
,	O
tell	O
Radhs	FRIEND
'	O
I	MESSAGE
'll	MESSAGE
be	MESSAGE
home	MESSAGE
before	MESSAGE
8	MESSAGE
pm	MESSAGE
'	O
